title;price;url_listing;posting_date;kelurahan;kabupaten_kota
Sepatu Running Puma Flyer Runner Original;550000;https://olx.co.id/item/sepatu-running-puma-flyer-runner-original-iid-923834190;2024-08-27 00:00:00;Margaasih;Bandung Kab.
Outsole sepatu futsal turf Puma;45000;https://olx.co.id/item/outsole-sepatu-futsal-turf-puma-iid-922084047;2024-08-27 00:00:00;Sawahan;Surabaya Kota
Puma Prime Future Rider Play On BNIB;699999;https://olx.co.id/item/puma-prime-future-rider-play-on-bnib-iid-862532484;2024-08-27 00:00:00;Pamulang;Tangerang Selatan Kota
Jual sepatu PUMA High Cewek;135000;https://olx.co.id/item/jual-sepatu-puma-high-cewek-iid-925294707;2024-08-27 00:00:00;Jambangan;Surabaya Kota
Sepatu Lari Puma Velocity Nitro 2 run;650000;https://olx.co.id/item/sepatu-lari-puma-velocity-nitro-2-run-iid-925293719;2024-08-27 00:00:00;Kejaksan;Cirebon Kota
Puma Roma Leather Pink;200000;https://olx.co.id/item/puma-roma-leather-pink-iid-914811590;2024-08-27 00:00:00;Penjaringan;Jakarta Utara
Sepatu puma suede 43 ori;600000;https://olx.co.id/item/sepatu-puma-suede-43-ori-iid-925292560;2024-08-27 00:00:00;Pancoran Mas;Depok Kota
Sepatu Futsal Puma Future Orange Hitam;500000;https://olx.co.id/item/sepatu-futsal-puma-future-orange-hitam-iid-925292183;2024-08-27 00:00:00;Denpasar Selatan;Denpasar Kota
Sepatu Puma Ungu Ladies;250000;https://olx.co.id/item/sepatu-puma-ungu-ladies-iid-917179853;2024-08-27 00:00:00;Duren Sawit;Jakarta Timur
Sepatu Running Puma Deviate Nitro Elite 2;1600000;https://olx.co.id/item/sepatu-running-puma-deviate-nitro-elite-2-iid-925285232;2024-08-27 00:00:00;Bekasi Barat;Bekasi Kota
Puma Disc Rebirth Porsche Design Original 100% Baru Size 43 (28 cm);1250000;https://olx.co.id/item/puma-disc-rebirth-porsche-design-original-100-baru-size-43-28-cm-iid-918412394;2024-08-27 00:00:00;Sako;Palembang Kota
Sepatu Puma Tsugi Blaze Black White;250000;https://olx.co.id/item/sepatu-puma-tsugi-blaze-black-white-iid-922652084;2024-08-27 00:00:00;Margahayu;Bandung Kab.
Jual sepatu Puma Cell Kilter Athletic Sneakers Shoes original;200000;https://olx.co.id/item/jual-sepatu-puma-cell-kilter-athletic-sneakers-shoes-original-iid-917404637;2024-08-27 00:00:00;Karawaci;Tangerang Kota
Sepatu Puma natural harga 450;450000;https://olx.co.id/item/sepatu-puma-natural-harga-450-iid-914315252;2024-08-27 00:00:00;Pamulang;Tangerang Selatan Kota
Sepatu Bola Puma Future Ulimate FG/AG;1500000;https://olx.co.id/item/sepatu-bola-puma-future-ulimate-fgag-iid-921551008;2024-08-26 00:00:00;Bojongloa Kaler;Bandung Kota
Puma Dexter’s labatory Mb.03 Sepatu;900000;https://olx.co.id/item/puma-dexters-labatory-mb03-sepatu-iid-923479644;2024-08-26 00:00:00;Pantai Indah Kapuk;Jakarta Utara
Puma select les benjamins;799999;https://olx.co.id/item/puma-select-les-benjamins-iid-882228335;2024-08-26 00:00:00;Cimanggis;Depok Kota
Puma 42,5 original;370000;https://olx.co.id/item/puma-425-original-iid-925275273;2024-08-26 00:00:00;Bekasi Barat;Bekasi Kota
Sepatu bola puma KING elite;1250000;https://olx.co.id/item/sepatu-bola-puma-king-elite-iid-925269441;2024-08-26 00:00:00;Bogor Tengah - Kota;Bogor Kota
